Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.1",34539,2,884,2,884,0,0
"192.168.1.1",34542,12,4708,12,4708,0,0
"192.168.1.1",34547,2,884,2,884,0,0
"192.168.1.1",34561,1,310,1,310,0,0
"192.168.1.1",34568,2,884,2,884,0,0
"192.168.1.1",34569,2,884,2,884,0,0
"192.168.1.1",34571,2,884,2,884,0,0
"192.168.1.1",34590,1,417,1,417,0,0
"192.168.1.1",34591,12,4708,12,4708,0,0
"192.168.1.1",34592,2,884,2,884,0,0
"192.168.1.1",34600,1,92,1,92,0,0
"192.168.1.1",34623,1,353,1,353,0,0
"192.168.1.1",34626,8,3238,8,3238,0,0
"192.168.1.1",34633,6,2354,6,2354,0,0
"192.168.1.1",34636,6,2354,6,2354,0,0
"192.168.1.1",34652,6,2354,6,2354,0,0
"192.168.1.1",34655,1,362,1,362,0,0
"192.168.1.1",34664,12,4708,12,4708,0,0
"192.168.1.1",34666,6,2354,6,2354,0,0
"192.168.1.1",34670,1,425,1,425,0,0
"192.168.1.1",34671,6,2354,6,2354,0,0
"192.168.1.1",34688,1,92,1,92,0,0
"192.168.1.1",34703,2,884,2,884,0,0
"192.168.1.1",34708,6,2354,6,2354,0,0
"192.168.1.1",34718,6,2354,6,2354,0,0
"192.168.1.1",34730,1,415,1,415,0,0
"192.168.1.1",34731,6,2354,6,2354,0,0
"192.168.1.1",34733,1,425,1,425,0,0
"192.168.1.1",34736,1,415,1,415,0,0
"192.168.1.1",34751,6,2354,6,2354,0,0
"192.168.1.1",34760,6,2354,6,2354,0,0
"192.168.1.1",34783,2,184,2,184,0,0
"192.168.1.1",34785,2,884,2,884,0,0
"192.168.1.1",34788,2,884,2,884,0,0
"192.168.1.1",34793,6,2354,6,2354,0,0
"192.168.1.1",34804,1,310,1,310,0,0
"192.168.1.1",34807,1,362,1,362,0,0
"192.168.1.1",34810,6,2354,6,2354,0,0
"192.168.1.1",34817,6,2354,6,2354,0,0
"192.168.1.1",34819,6,2354,6,2354,0,0
"192.168.1.1",34824,6,2354,6,2354,0,0
"192.168.1.1",34830,2,884,2,884,0,0
"192.168.1.1",34835,6,2354,6,2354,0,0
"192.168.1.1",34838,6,2354,6,2354,0,0
"192.168.1.1",34843,1,92,1,92,0,0
"192.168.1.1",34863,4,1768,4,1768,0,0
"192.168.1.1",34868,6,2354,6,2354,0,0
"192.168.1.1",34870,1,92,1,92,0,0
"192.168.1.1",34890,1,353,1,353,0,0
"192.168.1.1",34896,8,3238,8,3238,0,0
"192.168.1.1",34926,6,2354,6,2354,0,0
"192.168.1.1",34939,2,884,2,884,0,0
"192.168.1.1",34942,2,884,2,884,0,0
"192.168.1.1",34944,2,884,2,884,0,0
"192.168.1.1",34949,2,884,2,884,0,0
"192.168.1.1",34963,6,2354,6,2354,0,0
"192.168.1.1",34965,2,884,2,884,0,0
"192.168.1.1",35001,2,884,2,884,0,0
"192.168.1.1",35004,2,884,2,884,0,0
"192.168.1.1",35034,6,2354,6,2354,0,0
"192.168.1.1",35044,1,353,1,353,0,0
"192.168.1.1",35051,6,2354,6,2354,0,0
"192.168.1.1",35054,6,2354,6,2354,0,0
"192.168.1.1",35064,2,884,2,884,0,0
"192.168.1.1",35070,1,92,1,92,0,0
"192.168.1.1",35074,1,92,1,92,0,0
"192.168.1.1",35082,6,2354,6,2354,0,0
"192.168.1.1",35092,1,310,1,310,0,0
"192.168.1.1",35106,6,2354,6,2354,0,0
"192.168.1.1",35117,2,884,2,884,0,0
"192.168.1.1",35120,2,884,2,884,0,0
"192.168.1.1",35122,1,415,1,415,0,0
"192.168.1.1",35135,1,425,1,425,0,0
"192.168.1.1",35147,6,2354,6,2354,0,0
"192.168.1.1",35149,6,2354,6,2354,0,0
"192.168.1.1",35154,6,2354,6,2354,0,0
"192.168.1.1",35155,1,433,1,433,0,0
"192.168.1.1",35161,2,884,2,884,0,0
"192.168.1.1",35163,13,5018,13,5018,0,0
"192.168.1.1",35170,6,2354,6,2354,0,0
"192.168.1.1",35172,2,884,2,884,0,0
"192.168.1.1",35173,1,369,1,369,0,0
"192.168.1.1",35176,6,2354,6,2354,0,0
"192.168.1.1",35199,6,2354,6,2354,0,0
"192.168.1.1",35217,2,884,2,884,0,0
"192.168.1.1",35221,1,362,1,362,0,0
"192.168.1.1",35238,7,2664,7,2664,0,0
"192.168.1.1",35240,4,1768,4,1768,0,0
"192.168.1.1",35244,1,417,1,417,0,0
"192.168.1.1",35262,1,433,1,433,0,0
"192.168.1.1",35272,6,2354,6,2354,0,0
"192.168.1.1",35285,6,2354,6,2354,0,0
"192.168.1.1",35314,10,4122,10,4122,0,0
"192.168.1.1",35315,6,2354,6,2354,0,0
"192.168.1.1",35321,6,2354,6,2354,0,0
"192.168.1.1",35327,2,884,2,884,0,0
"192.168.1.1",35337,6,2354,6,2354,0,0
"192.168.1.1",35356,2,884,2,884,0,0
"192.168.1.1",35364,6,2354,6,2354,0,0
"192.168.1.1",35380,7,2781,7,2781,0,0
"192.168.1.1",35385,6,2354,6,2354,0,0
"192.168.1.1",35387,6,2354,6,2354,0,0
"192.168.1.1",35390,1,92,1,92,0,0
"192.168.1.1",35392,6,2354,6,2354,0,0
"192.168.1.1",35393,2,184,2,184,0,0
"192.168.1.1",35414,2,884,2,884,0,0
"192.168.1.1",35418,1,362,1,362,0,0
"192.168.1.1",35419,2,884,2,884,0,0
"192.168.1.1",35422,1,92,1,92,0,0
"192.168.1.1",35427,6,2354,6,2354,0,0
"192.168.1.1",35428,6,2354,6,2354,0,0
"192.168.1.1",35445,6,2354,6,2354,0,0
"192.168.1.1",35467,6,2354,6,2354,0,0
"192.168.1.1",35474,6,2354,6,2354,0,0
"192.168.1.1",35487,2,884,2,884,0,0
"192.168.1.1",35490,2,884,2,884,0,0
"192.168.1.1",35514,1,92,1,92,0,0
"192.168.1.1",35517,1,92,1,92,0,0
"192.168.1.1",35521,6,2354,6,2354,0,0
"192.168.1.1",35526,2,884,2,884,0,0
"192.168.1.1",35529,6,2354,6,2354,0,0
"192.168.1.1",35541,6,2354,6,2354,0,0
"192.168.1.1",35548,1,92,1,92,0,0
"192.168.1.1",35552,7,2446,7,2446,0,0
"192.168.1.1",35554,6,2354,6,2354,0,0
"192.168.1.1",35565,1,369,1,369,0,0
"192.168.1.1",35566,6,2354,6,2354,0,0
"192.168.1.1",35586,2,884,2,884,0,0
"192.168.1.1",35593,6,2354,6,2354,0,0
"192.168.1.1",35595,6,2354,6,2354,0,0
"192.168.1.1",35604,7,2446,7,2446,0,0
"192.168.1.1",35628,6,2354,6,2354,0,0
"192.168.1.1",35637,1,427,1,427,0,0
"192.168.1.1",35660,2,884,2,884,0,0
"192.168.1.1",35678,1,92,1,92,0,0
"192.168.1.1",35679,1,92,1,92,0,0
"192.168.1.1",35685,1,92,1,92,0,0
"192.168.1.1",35686,6,2354,6,2354,0,0
"192.168.1.1",35691,6,2354,6,2354,0,0
"192.168.1.1",35702,8,3238,8,3238,0,0
"192.168.1.1",35703,1,369,1,369,0,0
"192.168.1.1",35704,2,884,2,884,0,0
"192.168.1.1",35707,7,2664,7,2664,0,0
"192.168.1.1",35708,2,884,2,884,0,0
"192.168.1.1",35718,1,92,1,92,0,0
"192.168.1.1",35720,2,884,2,884,0,0
"192.168.1.1",35724,1,369,1,369,0,0
"192.168.1.1",35731,1,349,1,349,0,0
"192.168.1.1",35732,6,2354,6,2354,0,0
"192.168.1.1",35733,2,884,2,884,0,0
"192.168.1.1",35763,2,884,2,884,0,0
"192.168.1.1",35773,6,2354,6,2354,0,0
"192.168.1.1",35776,2,884,2,884,0,0
"192.168.1.1",35780,1,310,1,310,0,0
"192.168.1.1",35787,6,2354,6,2354,0,0
"192.168.1.1",35791,6,2354,6,2354,0,0
"192.168.1.1",35797,6,2354,6,2354,0,0
"192.168.1.1",35799,6,2354,6,2354,0,0
"192.168.1.1",35804,2,884,2,884,0,0
"192.168.1.1",35814,6,2354,6,2354,0,0
"192.168.1.1",35823,2,884,2,884,0,0
"192.168.1.1",35829,6,2354,6,2354,0,0
"192.168.1.1",35833,6,2354,6,2354,0,0
"192.168.1.1",35834,2,884,2,884,0,0
"192.168.1.1",35843,2,884,2,884,0,0
"192.168.1.1",35845,1,427,1,427,0,0
"192.168.1.1",35846,2,884,2,884,0,0
"192.168.1.1",35857,6,2354,6,2354,0,0
"192.168.1.1",35863,2,884,2,884,0,0
"192.168.1.1",35866,6,2354,6,2354,0,0
"192.168.1.1",35869,2,884,2,884,0,0
"192.168.1.1",35890,6,2354,6,2354,0,0
"192.168.1.1",35895,1,92,1,92,0,0
"192.168.1.1",35905,2,884,2,884,0,0
"192.168.1.1",35908,1,92,1,92,0,0
"192.168.1.1",35914,1,92,1,92,0,0
"192.168.1.1",35917,1,353,1,353,0,0
"192.168.1.1",35923,1,92,1,92,0,0
"192.168.1.1",35926,6,2354,6,2354,0,0
"192.168.1.1",35927,2,844,2,844,0,0
"192.168.1.1",35935,1,362,1,362,0,0
"192.168.1.1",35947,2,884,2,884,0,0
"192.168.1.1",35948,2,884,2,884,0,0
"192.168.1.1",35952,2,884,2,884,0,0
"192.168.1.1",35958,1,349,1,349,0,0
"192.168.1.1",35960,2,764,2,764,0,0
"192.168.1.1",35963,1,425,1,425,0,0
"192.168.1.1",35966,12,4708,12,4708,0,0
"192.168.1.1",35977,6,2354,6,2354,0,0
"192.168.1.1",35980,6,2354,6,2354,0,0
"192.168.1.1",35984,6,2354,6,2354,0,0
"192.168.1.1",35988,6,2354,6,2354,0,0
"192.168.1.1",35994,2,884,2,884,0,0
"192.168.1.1",36028,2,884,2,884,0,0
"192.168.1.1",36029,2,884,2,884,0,0
"192.168.1.1",36045,2,884,2,884,0,0
"192.168.1.1",36052,2,884,2,884,0,0
"192.168.1.1",36057,1,92,1,92,0,0
"192.168.1.1",36060,1,417,1,417,0,0
"192.168.1.1",36065,2,884,2,884,0,0
"192.168.1.1",36068,1,92,1,92,0,0
"192.168.1.1",36069,6,2354,6,2354,0,0
"192.168.1.1",36071,1,433,1,433,0,0
"192.168.1.1",36079,6,2354,6,2354,0,0
"192.168.1.1",36082,6,2354,6,2354,0,0
"192.168.1.1",36085,1,417,1,417,0,0
"192.168.1.1",36087,6,2354,6,2354,0,0
"192.168.1.1",36098,2,884,2,884,0,0
"192.168.1.1",36099,1,310,1,310,0,0
"192.168.1.1",36107,2,884,2,884,0,0
"192.168.1.1",36110,6,2354,6,2354,0,0
"192.168.1.1",36112,2,884,2,884,0,0
"192.168.1.1",36113,1,425,1,425,0,0
"192.168.1.1",36114,2,884,2,884,0,0
"192.168.1.1",36115,2,884,2,884,0,0
"192.168.1.1",36122,1,427,1,427,0,0
"192.168.1.1",36125,1,92,1,92,0,0
"192.168.1.1",36134,6,2354,6,2354,0,0
"192.168.1.1",36140,2,884,2,884,0,0
"192.168.1.1",36142,4,1768,4,1768,0,0
"192.168.1.1",36165,2,884,2,884,0,0
"192.168.1.1",36177,12,4708,12,4708,0,0
"192.168.1.1",36179,2,884,2,884,0,0
"192.168.1.1",36194,1,92,1,92,0,0
"192.168.1.1",36197,12,4708,12,4708,0,0
"192.168.1.1",36200,6,2354,6,2354,0,0
