Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.31",65313,20,2581,11,1257,9,1324
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65314,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65315,1,86,1,86,0,0
"192.168.1.31",65316,31,6030,13,1706,18,4324
"192.168.1.31",65317,18,2300,8,1120,10,1180
"192.168.1.31",65321,39,10805,18,2974,21,7831
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65325,1,86,1,86,0,0
"192.168.1.31",65326,16,2337,9,1145,7,1192
"192.168.1.31",65332,36,8752,16,2349,20,6403
"192.168.1.31",65333,32,7155,16,1954,16,5201
"192.168.1.31",65334,31,7093,17,2012,14,5081
"192.168.1.31",65337,18,11594,7,1150,11,10444
"192.168.1.31",65338,22,13204,8,1240,14,11964
"192.168.1.31",65339,15,6051,6,1073,9,4978
"192.168.1.31",65340,35,8538,17,2021,18,6517
"192.168.1.31",65342,46,6350,19,3384,27,2966
"192.168.1.31",65343,440,544525,65,4803,375,539722
"192.168.1.31",65344,44,9357,20,2133,24,7224
"192.168.1.31",65345,23,6680,11,1142,12,5538
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65348,1,86,1,86,0,0
"192.168.1.31",65349,18,2460,10,1202,8,1258
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65351,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65352,1,86,1,86,0,0
"192.168.1.31",65353,18,2458,10,1200,8,1258
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65354,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65355,1,86,1,86,0,0
"192.168.1.31",65356,35,6781,18,4167,17,2614
"192.168.1.31",65357,143,132580,37,3457,106,129123
"192.168.1.31",65358,18,2460,10,1202,8,1258
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65359,1,86,1,86,0,0
"192.168.1.31",65360,18,2300,8,1120,10,1180
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65361,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65362,1,86,1,86,0,0
"192.168.1.31",65363,129,128911,25,2434,104,126477
"192.168.1.31",65364,19,2354,9,1174,10,1180
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65366,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65367,1,86,1,86,0,0
"192.168.1.31",65368,4784,6253613,646,42408,4138,6211205
"192.168.1.31",65369,15,1433,8,964,7,469
"192.168.1.31",65372,28,4180,16,2545,12,1635
"192.168.1.31",65373,7,462,1,66,6,396
"192.168.1.31",65374,276,286828,63,4671,213,282157
"192.168.1.31",65383,31,11115,15,2449,16,8666
"192.168.1.31",65384,23,7587,12,1632,11,5955
"192.168.1.31",65389,37,10686,18,2975,19,7711
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65391,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65392,1,86,1,86,0,0
"192.168.1.31",65393,34,6410,15,1814,19,4596
"192.168.1.31",65394,18,2300,8,1120,10,1180
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65395,1,86,1,86,0,0
"192.168.1.31",65396,20,2581,11,1257,9,1324
"192.168.1.31",65417,44,16399,21,4733,23,11666
"192.168.1.31",65427,50,18374,24,2886,26,15488
"192.168.1.31",65428,70,45325,24,3895,46,41430
"192.168.1.31",65435,20,1562,14,877,6,685
