srcip,srcport,dstip,dstport,proto,duration
130.233.145.193,59162.0,130.233.226.86,10051.0,6.0,3359.0
130.233.226.86,55226.0,130.233.145.193,10050.0,6.0,920.0
130.233.145.193,0.0,130.233.226.86,54408.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,15196.0,1.0,0.0
130.233.145.193,54005.0,130.233.227.12,2049.0,6.0,902.0
130.233.145.193,44980.0,130.233.226.86,,6.0,13058.0
130.233.226.86,2048.0,130.233.145.193,11611.0,1.0,0.0
130.233.145.193,33612.0,192.0.73.2,443.0,6.0,32252.0
130.233.145.193,45732.0,130.233.226.86,10051.0,6.0,2157.0
13.234.221.188,2048.0,130.233.145.193,23410.0,1.0,0.0
130.233.226.86,37808.0,130.233.145.193,10050.0,6.0,1275.0
130.233.145.193,44764.0,195.8.215.224,443.0,6.0,
130.233.145.193,,54.171.13.176,443.0,6.0,6090267.0
130.233.145.193,50588.0,23.42.152.238,443.0,6.0,115638335.0
130.233.145.193,43466.0,130.233.227.12,111.0,6.0,945.0
130.233.145.154,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,34840.0,130.233.251.5,389.0,6.0,61683.0
130.233.145.101,138.0,130.233.145.255,138.0,17.0,0.0
,59100.0,130.233.226.86,10051.0,6.0,2222.0
130.233.145.115,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.151,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,50602.0,23.42.152.238,443.0,6.0,
130.233.226.86,56796.0,130.233.145.193,10050.0,6.0,
130.233.145.18,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,42894.0,23.32.99.162,443.0,6.0,115736746.0
130.233.145.193,45562.0,130.233.226.86,,6.0,1655.0
130.233.145.193,52188.0,23.42.152.29,443.0,6.0,91962884.0
130.233.145.138,,130.233.145.255,137.0,17.0,1511848.0
130.233.145.193,52652.0,52.114.6.46,443.0,6.0,8911502.0
130.233.145.193,41610.0,130.233.226.86,10051.0,6.0,4140.0
130.233.145.193,43396.0,130.233.227.12,111.0,6.0,1076.0
130.233.145.193,46066.0,52.85.241.116,443.0,6.0,93172.0
130.233.145.193,48196.0,172.217.20.54,443.0,6.0,170656022.0
130.233.145.193,58944.0,140.109.20.229,443.0,6.0,8426825.0
130.233.145.193,53103.0,130.233.227.12,111.0,17.0,441.0
130.233.145.193,0.0,130.233.226.86,25156.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,34082.0,,0.0
130.233.145.193,0.0,130.233.226.86,45059.0,1.0,0.0
130.233.226.86,,130.233.145.193,35974.0,1.0,0.0
130.233.145.193,42532.0,70.42.32.31,443.0,6.0,574108.0
130.233.145.193,0.0,52.69.153.168,1440.0,1.0,0.0
130.233.145.193,50184.0,13.33.44.248,443.0,6.0,115194821.0
130.233.145.193,48930.0,192.0.72.31,443.0,6.0,27277.0
130.233.145.193,34222.0,151.101.84.133,443.0,6.0,115920929.0
130.233.145.193,,54.171.13.176,443.0,6.0,230696824.0
130.233.145.193,0.0,130.233.226.86,17449.0,1.0,0.0
130.233.145.193,,13.33.44.61,443.0,6.0,116079099.0
130.233.145.193,60792.0,130.233.227.12,635.0,17.0,576.0
130.233.145.193,0.0,130.233.226.86,32313.0,1.0,0.0
130.233.226.86,2048.0,130.233.145.193,35444.0,1.0,0.0
,45776.0,130.233.227.12,111.0,6.0,
130.233.145.193,0.0,130.233.226.86,56561.0,1.0,0.0
130.233.145.193,53352.0,37.252.173.38,443.0,6.0,5919498.0
130.233.145.193,56174.0,130.233.251.5,88.0,6.0,
130.233.145.193,55998.0,172.217.21.168,443.0,6.0,1185325.0
130.233.145.193,0.0,130.233.226.86,55155.0,1.0,0.0
130.233.145.193,44956.0,130.233.226.86,10051.0,,1790.0
130.233.145.193,47232.0,50.63.243.230,80.0,,
130.233.145.193,58138.0,195.8.215.171,443.0,6.0,170541688.0
