Date,Price (USD)
12/13/2021,16082.55
12/10/2021,16331.98
12/09/2021,16149.57
12/08/2021,16394.34
12/07/2021,16325.66
12/06/2021,15846.16
12/03/2021,15712.04
12/02/2021,15990.76
12/01/2021,15877.72
11/30/2021,16135.92
11/29/2021,16399.24
11/26/2021,16025.58
11/24/2021,16367.81
11/23/2021,16306.72
11/22/2021,16380.98
11/19/2021,16573.34
11/18/2021,16482.97
11/17/2021,16308.07
11/16/2021,16309.77
11/15/2021,16189.12
11/12/2021,16199.89
11/11/2021,16032.47
11/10/2021,15985.57
11/09/2021,16219.94
11/08/2021,16336.03
11/05/2021,16359.38
11/04/2021,16346.24
11/03/2021,16144.5
11/02/2021,15972.49
11/01/2021,15905.28
10/29/2021,15850.47
10/28/2021,15778.16
10/27/2021,15598.39
10/26/2021,15559.49
10/25/2021,15514.19
10/22/2021,15355.07
10/21/2021,15489.59
10/20/2021,15388.71
10/19/2021,15410.72
10/18/2021,15300.89
10/15/2021,15146.92
10/14/2021,15052.42
10/13/2021,14774.6
10/12/2021,14662.11
10/11/2021,14713.73
10/08/2021,14820.75
10/07/2021,14897.13
10/06/2021,14766.75
10/05/2021,14674.15
10/04/2021,14472.12
10/01/2021,14791.87
09/30/2021,14689.62
09/29/2021,14752.89
09/28/2021,14770.3
09/27/2021,15204.82
09/24/2021,15329.68
09/23/2021,15316.58
09/22/2021,15176.51
09/21/2021,15027.77
09/20/2021,15012.19
09/17/2021,15333.47
09/16/2021,15515.91
09/15/2021,15503.53
09/14/2021,15382.9
09/13/2021,15434.5
09/10/2021,15440.75
09/09/2021,15561.05
09/08/2021,15620.85
09/07/2021,15675.76
09/03/2021,15652.86
09/02/2021,15604.25
09/01/2021,15611.57
08/31/2021,15582.51
08/30/2021,15605.09
08/27/2021,15432.95
08/26/2021,15278.52
08/25/2021,15368.92
08/24/2021,15357.68
08/23/2021,15312.82
08/20/2021,15092.57
08/19/2021,14933.94
08/18/2021,14857.92
08/17/2021,15002.83
08/16/2021,15140.77
08/13/2021,15136.68
08/12/2021,15088.98
08/11/2021,15027.76
08/10/2021,15053.58
08/09/2021,15133.11
08/06/2021,15109.36
08/05/2021,15181.64
08/04/2021,15083.39
08/03/2021,15061.42
08/02/2021,14963.62
07/30/2021,14959.9
07/29/2021,15048.36
07/28/2021,15018.1
07/27/2021,14956.97
07/26/2021,15125.95
07/23/2021,15111.79
07/22/2021,14940.17
07/21/2021,14842.63
07/20/2021,14728.21
07/19/2021,14549.09
07/16/2021,14681.38
07/15/2021,14794.69
07/14/2021,14900.44
07/13/2021,14874.54
07/12/2021,14877.89
07/09/2021,14826.09
07/08/2021,14722.14
07/07/2021,14810.54
07/06/2021,14786.36
07/02/2021,14727.63
07/01/2021,14560.05
06/30/2021,14554.8
06/29/2021,14572.75
06/28/2021,14524.98
06/25/2021,14345.18
06/24/2021,14365.96
06/23/2021,14274.24
06/22/2021,14270.42
06/21/2021,14137.23
06/18/2021,14049.58
06/17/2021,14163.81
06/16/2021,13983.01
06/15/2021,14030.41
06/14/2021,14128.2
06/11/2021,13998.3
06/10/2021,13960.35
06/09/2021,13814.94
06/08/2021,13810.86
06/07/2021,13802.89
06/04/2021,13770.77
06/03/2021,13529.68
06/02/2021,13675.79
06/01/2021,13654.59
05/28/2021,13686.51
05/27/2021,13657.85
05/26/2021,13702.74
05/25/2021,13657.73
05/24/2021,13641.75
05/21/2021,13411.74
05/20/2021,13494.09
05/19/2021,13237.91
05/18/2021,13217.68
05/17/2021,13312.91
05/14/2021,13312.91
05/13/2021,13109.15
05/12/2021,13001.63
05/11/2021,13351.27
05/10/2021,13359.08
05/07/2021,13719.63
05/06/2021,13613.73
05/05/2021,13503.37
05/04/2021,13544.67
05/03/2021,13799.72
04/30/2021,13860.76
04/29/2021,13970.2
04/28/2021,13901.62
04/27/2021,13960.28
04/26/2021,14026.16
04/23/2021,13941.44
04/22/2021,13762.36
04/21/2021,13935.15
04/20/2021,13809.3
04/19/2021,13907.67
04/16/2021,14041.91
04/15/2021,14026.19
04/14/2021,13803.91
04/13/2021,13986.49
04/12/2021,13819.35
04/09/2021,13845.05
04/08/2021,13758.5
04/07/2021,13616.7
04/06/2021,13578.46
04/05/2021,13598.16
04/01/2021,13329.51
03/31/2021,13091.44
03/30/2021,12896.53
03/29/2021,12965.74
03/26/2021,12979.12
03/25/2021,12780.51
03/24/2021,12798.88
03/23/2021,13017.79
03/22/2021,13086.51
03/19/2021,12866.99
03/18/2021,12789.14
03/17/2021,13202.38
03/16/2021,13152.28
03/15/2021,13082.54
03/12/2021,12937.29
03/11/2021,13052.9
03/10/2021,12752.07
03/09/2021,12794.49
03/08/2021,12299.08
03/05/2021,12668.51
03/04/2021,12464
03/03/2021,12683.33
03/02/2021,13059.95
03/01/2021,13282.95
02/26/2021,12909.44
02/25/2021,12828.31
02/24/2021,13302.19
02/23/2021,13194.71
02/22/2021,13223.74
02/19/2021,13580.78
02/18/2021,13637.51
02/17/2021,13699.71
02/16/2021,13773.77
02/12/2021,13807.7
02/11/2021,13734.35
02/10/2021,13655.27
02/09/2021,13687.08
02/08/2021,13695.02
02/05/2021,13603.96
02/04/2021,13560.89
02/03/2021,13402.37
02/02/2021,13456.12
02/01/2021,13248.9
01/29/2021,12925.38
01/28/2021,13201.53
01/27/2021,13112.65
01/26/2021,13490.19
01/25/2021,13483.29
01/22/2021,13366.4
01/21/2021,13404.99
01/20/2021,13296.45
01/19/2021,12996.54
01/15/2021,12803.93
01/14/2021,12898.69
01/13/2021,12973.63
01/12/2021,12892.09
01/11/2021,12902.49
01/08/2021,13105.2
01/07/2021,12939.57
01/06/2021,12623.35
01/05/2021,12802.38
01/04/2021,12694.66
12/31/2020,12888.28
12/30/2020,12845.36
12/29/2020,12843.49
12/28/2020,12838.86
12/24/2020,12711.01
12/23/2020,12653.14
12/22/2020,12717.56
12/21/2020,12690.26
12/18/2020,12738.18
12/17/2020,12752.06
12/16/2020,12668.16
12/15/2020,12595.92
12/14/2020,12462.21
12/11/2020,12375.41
12/10/2020,12401.74
12/09/2020,12364.64
12/08/2020,12635.72
12/07/2020,12596.47
12/04/2020,12528.48
12/03/2020,12467.13
12/02/2020,12456.41
12/01/2020,12455.33
11/30/2020,12268.32
11/27/2020,12258.21
11/25/2020,12152.22
11/24/2020,12079.81
11/23/2020,11905.94
11/20/2020,11906.44
11/19/2020,11985.43
11/18/2020,11894.71
11/17/2020,11977.49
11/16/2020,12013.38
11/13/2020,11937.84
11/12/2020,11827.14
11/11/2020,11892.93
11/10/2020,11624.29
11/09/2020,11830.39
11/06/2020,12091.35
11/05/2020,12078.07
11/04/2020,11777.02
11/03/2020,11279.91
11/02/2020,11084.76
10/30/2020,11052.95
10/29/2020,11350.74
10/28/2020,11142.76
10/27/2020,11598.95
10/26/2020,11504.52
10/23/2020,11692.57
10/22/2020,11662.91
10/21/2020,11665.37
10/20/2020,11677.84
10/19/2020,11634.35
10/16/2020,11852.17
10/15/2020,11898.57
10/14/2020,11985.36
10/13/2020,12083.17
10/12/2020,12088.11
10/09/2020,11725.85
10/08/2020,11550.94
10/07/2020,11503.19
10/06/2020,11291.27
10/05/2020,11509.06
10/02/2020,11255.69
10/01/2020,11583.2
09/30/2020,11418.06
09/29/2020,11322.95
09/28/2020,11364.45
09/25/2020,11151.13
09/24/2020,10896.47
09/23/2020,10833.33
09/22/2020,11186.37
09/21/2020,10980.22
09/18/2020,10936.98
09/17/2020,11080.95
09/16/2020,11247.6
09/15/2020,11438.87
09/14/2020,11277.76
09/11/2020,11087.4
09/10/2020,11154.12
09/09/2020,11395.85
09/08/2020,11068.26
09/04/2020,11622.13
09/03/2020,11771.37
09/02/2020,12420.54
09/01/2020,12292.86
08/31/2020,12110.7
08/28/2020,11995.85
08/27/2020,11926.16
08/26/2020,11971.94
08/25/2020,11721.81
08/24/2020,11626.17
08/21/2020,11555.16
08/20/2020,11477.05
08/19/2020,11318.64
08/18/2020,11399.03
08/17/2020,11288.57
08/14/2020,11164.45
08/13/2020,11178.37
08/12/2020,11157.72
08/11/2020,10876.08
08/10/2020,11085.17
08/07/2020,11139.39
08/06/2020,11267.08
08/05/2020,11125.44
08/04/2020,11096.54
08/03/2020,11055.08
07/31/2020,10905.88
07/30/2020,10715.51
07/29/2020,10662.98
07/28/2020,10532.5
07/27/2020,10674.38
07/24/2020,10483.13
07/23/2020,10580.59
07/22/2020,10870.75
07/21/2020,10833.07
07/20/2020,10952.08
07/17/2020,10645.22
07/16/2020,10626.46
07/15/2020,10701.68
07/14/2020,10689.52
07/13/2020,10602.21
07/10/2020,10836.33
07/09/2020,10754.59
07/08/2020,10666.7
07/07/2020,10524.01
07/06/2020,10604.06
07/02/2020,10341.89
07/01/2020,10279.25
06/30/2020,10156.85
06/29/2020,9961.16
06/26/2020,9849.36
06/25/2020,10101.83
06/24/2020,10002.7
06/23/2020,10209.82
06/22/2020,10130.33
06/19/2020,10008.64
06/18/2020,10012.05
06/17/2020,9982.48
06/16/2020,9949.37
06/15/2020,9776.89
06/12/2020,9663.77
06/11/2020,9588.48
06/10/2020,10094.26
06/09/2020,9967.17
06/08/2020,9901.52
06/05/2020,9824.39
06/04/2020,9629.66
06/03/2020,9704.69
06/02/2020,9657.31
06/01/2020,9598.89
05/29/2020,9555.52
05/28/2020,9416.71
05/27/2020,9442.05
05/26/2020,9389.98
05/22/2020,9413.99
05/21/2020,9377.99
05/20/2020,9485.02
05/19/2020,9298.54
05/18/2020,9331.93
