Date,Price (USD)
11/14/2021,65736.6
11/13/2021,64749.6
11/12/2021,63800.9
11/11/2021,65005.4
11/10/2021,64556.4
11/09/2021,66627.7
11/08/2021,68205.4
11/07/2021,65164.5
11/06/2021,62091.7
11/05/2021,61078.6
11/04/2021,62139.5
11/03/2021,62464
11/02/2021,63041.7
11/01/2021,61098.7
10/31/2021,60086.2
10/30/2021,61648.6
10/29/2021,61707.2
10/28/2021,61558.1
10/27/2021,58791.1
10/26/2021,60708.6
10/25/2021,62688.4
10/24/2021,62094.3
10/23/2021,61253.3
10/22/2021,61162.7
10/21/2021,63145
10/20/2021,64998.5
10/19/2021,63918.7
10/18/2021,62643.6
10/17/2021,62055.5
10/16/2021,61159
10/15/2021,61426.5
10/14/2021,59323.5
10/13/2021,58168.4
10/12/2021,56297.4
10/11/2021,56704.4
10/10/2021,56534.9
10/09/2021,54868.6
10/08/2021,54637.5
10/07/2021,53810.6
10/06/2021,54966.6
10/05/2021,51540.8
10/04/2021,49210.2
10/03/2021,47498.3
10/02/2021,47662.7
10/01/2021,47548
09/30/2021,43467.3
09/29/2021,43446.4
09/28/2021,42092.6
09/27/2021,43863.5
09/26/2021,43889.5
09/25/2021,42234.2
09/24/2021,42654.1
09/23/2021,44365.4
09/22/2021,43959.2
09/21/2021,42206.2
09/20/2021,42686.2
09/19/2021,45526.3
09/18/2021,47940.9
09/17/2021,47526.6
09/16/2021,47876.3
09/15/2021,47545.5
09/14/2021,47097.4
09/13/2021,45281.7
09/12/2021,44973.6
09/11/2021,45308.7
09/10/2021,45023.2
09/09/2021,46604.7
09/08/2021,45904.5
09/07/2021,46533.2
09/06/2021,52639.6
09/05/2021,50129.3
09/04/2021,49716.3
09/03/2021,50267.4
09/02/2021,49446.8
09/01/2021,49571.7
08/31/2021,46918.2
08/30/2021,47177
08/29/2021,47944.6
08/28/2021,48258.5
08/27/2021,48880.7
08/26/2021,46867.7
08/25/2021,47967.1
08/24/2021,48000.6
08/23/2021,49352.5
08/22/2021,50226.5
08/21/2021,48736.4
08/20/2021,48901.9
08/19/2021,47048
08/18/2021,44177.2
08/17/2021,44959
08/16/2021,46399.9
08/15/2021,47497.9
08/14/2021,47015.6
08/13/2021,47500.4
08/12/2021,44962.2
08/11/2021,46123.5
08/10/2021,45600.4
08/09/2021,45689.8
08/08/2021,43552.4
08/07/2021,44307.8
08/06/2021,43672.9
08/05/2021,40166.6
08/04/2021,39431.3
08/03/2021,38054.8
08/02/2021,38569.7
08/01/2021,39782.5
07/31/2021,42281.8
07/30/2021,41914.8
07/29/2021,39976.3
07/28/2021,39740.4
07/27/2021,39831.3
07/26/2021,36914.2
07/25/2021,38138
07/24/2021,34234.5
07/23/2021,33611.3
07/22/2021,32537.4
07/21/2021,31960.1
07/20/2021,29849.9
07/19/2021,29619.3
07/18/2021,31577.7
07/17/2021,32132.1
07/16/2021,31326.6
07/15/2021,31906.4
07/14/2021,32711.8
07/13/2021,31785
07/12/2021,33139.4
07/11/2021,34504.4
07/10/2021,33461.4
07/09/2021,33827.8
07/08/2021,32956.6
07/07/2021,33359.6
07/06/2021,34428.1
07/05/2021,33883.2
07/04/2021,34334.7
07/03/2021,34771.6
07/02/2021,33396
