Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.177",56399,42,4002,0,0,21,1805,21,2197
"192.168.1.62",50788,8,531,0,0,5,357,3,174
"192.168.1.177",56405,979,274977,0,0,397,220719,582,54258
"192.168.1.62",50799,8,531,0,0,5,357,3,174
"192.168.1.62",50809,8,531,0,0,5,357,3,174
"192.168.1.62",50825,8,531,0,0,5,357,3,174
"192.168.1.177",56416,88,14353,0,0,39,6149,49,8204
"192.168.1.62",50828,8,531,0,0,5,357,3,174
"192.168.1.177",56418,34,8637,0,0,15,2288,19,6349
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56419,1,86,0,0,1,86,0,0
"192.168.1.62",50843,8,531,0,0,5,357,3,174
"192.168.1.177",56425,61,10904,0,0,29,6645,32,4259
"192.168.1.177",56428,37,10650,0,0,18,2975,19,7675
"192.168.1.62",50873,8,531,0,0,5,357,3,174
"192.168.1.62",50885,8,531,0,0,5,357,3,174
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56433,5,430,0,0,5,430,0,0
"192.168.1.177",56434,11,5288,0,0,5,944,6,4344
"192.168.1.177",56435,5,330,0,0,1,66,4,264
"192.168.1.177",56436,32,7705,0,0,14,2005,18,5700
"192.168.1.177",56437,127,176721,0,0,39,7171,88,169550
"140.177.50.10",443,466,852296,0,0,308,824968,158,27328
"192.168.1.177",56438,24,4441,0,0,12,1092,12,3349
"192.168.1.177",56439,68,215505,0,0,24,3273,44,212232
"192.168.1.177",56440,64,119605,0,0,22,4227,42,115378
"192.168.1.177",56441,57,121715,0,0,20,3408,37,118307
"192.168.1.177",56442,64,95745,0,0,24,4138,40,91607
"192.168.1.177",56443,86,123005,0,0,29,5111,57,117894
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56446,5,430,0,0,5,430,0,0
"192.168.1.62",50898,8,531,0,0,5,357,3,174
"192.168.1.177",56449,15,1268,0,0,8,553,7,715
"192.168.1.177",56450,26,6536,0,0,14,1380,12,5156
"192.168.1.177",56452,28,4005,0,0,15,2416,13,1589
"192.168.1.177",56455,31,27944,0,0,16,6258,15,21686
"157.124.1.11",443,535,389968,0,0,292,283418,243,106550
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56456,5,430,0,0,5,430,0,0
"2a02:26f0:1200:5ac::1b01",80,5,430,0,0,0,0,5,430
"192.168.1.177",56457,33,4342,0,0,17,1375,16,2967
"23.72.246.32",80,39,4690,0,0,18,3087,21,1603
"192.168.1.177",56458,4,252,0,0,1,66,3,186
"192.168.1.177",56459,116,75291,0,0,55,32746,61,42545
"192.168.1.177",56460,173,214609,0,0,66,35309,107,179300
"192.168.1.177",56461,56,20090,0,0,27,9254,29,10836
"192.168.1.177",56462,55,20080,0,0,28,9343,27,10737
"192.168.1.177",56463,56,20023,0,0,28,9275,28,10748
"192.168.1.177",56464,44,11679,0,0,22,4299,22,7380
"192.168.1.62",50930,8,531,0,0,5,357,3,174
"192.168.1.177",56466,6,348,0,0,4,228,2,120
"192.168.1.177",56468,91,21305,0,0,45,8076,46,13229
"192.168.1.62",50950,8,531,0,0,5,357,3,174
"192.168.1.177",56471,52,20265,0,0,29,3523,23,16742
"192.168.1.177",56473,68,136041,0,0,30,4203,38,131838
"192.168.1.177",56476,33,4707,0,0,17,2758,16,1949
"192.168.1.62",50957,8,531,0,0,5,357,3,174
"192.168.1.177",56479,38,10599,0,0,16,2804,22,7795
"192.168.1.177",56480,39,88856,0,0,14,3544,25,85312
"130.233.229.20",443,24869,42346129,0,0,6644,16981384,18225,25364745
"192.168.1.177",56481,22,5645,0,0,10,1093,12,4552
"192.168.1.177",56482,48,8249,0,0,24,5204,24,3045
"192.168.1.177",56483,7,462,0,0,1,66,6,396
"192.168.1.177",56484,40,10202,0,0,19,2450,21,7752
"52.85.49.37",443,40,10202,0,0,21,7752,19,2450
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56485,1,86,0,0,1,86,0,0
"2a02:6ea0:c500::3",443,1,86,0,0,0,0,1,86
"192.168.1.177",56486,38,13506,0,0,19,2444,19,11062
"185.76.9.23",443,38,13506,0,0,19,11062,19,2444
"192.168.1.177",56487,17,5624,0,0,8,2839,9,2785
"192.168.1.177",56488,19,8025,0,0,10,3039,9,4986
"192.168.1.177",56489,77,72225,0,0,38,28565,39,43660
"130.233.224.114",443,128,124221,0,0,65,81658,63,42563
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56491,5,430,0,0,5,430,0,0
"2603:1026:3000:108::4",443,5,430,0,0,0,0,5,430
"192.168.1.177",56492,103,90884,0,0,54,42498,49,48386
"20.190.181.0",443,117,96805,0,0,55,53001,62,43804
"192.168.1.177",56493,93,89052,0,0,55,43742,38,45310
"130.233.0.8",443,93,89052,0,0,38,45310,55,43742
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56494,5,430,0,0,5,430,0,0
"2606:4700::6812:e65",80,5,430,0,0,0,0,5,430
"192.168.1.177",56495,32,3558,0,0,17,1382,15,2176
"104.18.15.101",80,38,3906,0,0,17,2296,21,1610
"192.168.1.177",56496,29,8981,0,0,13,2199,16,6782
"216.58.209.170",443,747,481797,0,0,435,426119,312,55678
"192.168.1.62",50968,8,531,0,0,5,357,3,174
"192.168.1.177",56498,51,51996,0,0,25,13998,26,37998
"192.168.1.177",56499,93,235333,0,0,48,36631,45,198702
"192.168.1.177",56500,7,462,0,0,1,66,6,396
"192.168.1.177",56501,7,462,0,0,1,66,6,396
"192.168.1.177",56502,7,462,0,0,1,66,6,396
"192.168.1.177",56503,33,57045,0,0,14,2950,19,54095
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56505,5,430,0,0,5,430,0,0
"2603:1026:3000:110::2",443,5,430,0,0,0,0,5,430
"192.168.1.177",56506,6,348,0,0,4,228,2,120
"192.168.1.177",56508,64,234760,0,0,22,6076,42,228684
"192.168.1.177",56509,20,4526,0,0,10,3001,10,1525
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56511,5,430,0,0,5,430,0,0
"2603:1026:3000:110::5",443,5,430,0,0,0,0,5,430
"192.168.1.62",50977,8,531,0,0,5,357,3,174
"192.168.1.177",56513,40,177971,0,0,18,4555,22,173416
