Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.62",54396,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",53735,2,186,0,0,2,186,0,0
"192.168.1.62",53735,2,146,0,0,2,146,0,0
"192.168.1.177",59822,52,8684,0,0,52,8684,0,0
"192.168.1.177",64740,2,200,0,0,1,92,1,108
"192.168.1.177",61498,2,242,0,0,1,92,1,150
"192.168.1.177",57147,2,200,0,0,1,92,1,108
"192.168.1.177",57798,2,184,0,0,1,92,1,92
"192.168.1.177",57799,13,7955,0,0,6,1904,7,6051
"34.117.138.150",443,4115,3364873,0,0,3242,3173872,873,191001
"192.168.1.177",57800,380,383040,0,0,46,11892,334,371148
"fe80::f17b:6c72:fea6:5dc5",59102,4,372,0,0,4,372,0,0
"192.168.1.62",59102,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",63066,2,186,0,0,2,186,0,0
"192.168.1.62",63066,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",65229,8,732,0,0,8,732,0,0
"192.168.1.62",65229,8,572,0,0,8,572,0,0
"fe80::f17b:6c72:fea6:5dc5",59260,2,186,0,0,2,186,0,0
"192.168.1.62",59260,2,146,0,0,2,146,0,0
"192.168.1.1",33862,1,92,0,0,1,92,0,0
"192.168.1.177",137,150,13800,0,0,0,0,150,13800
"192.168.1.177",53705,2,237,0,0,1,83,1,154
"192.168.1.177",61364,2,225,0,0,1,83,1,142
"192.168.1.177",50545,2,270,0,0,1,83,1,187
"fe80::f17b:6c72:fea6:5dc5",63698,2,186,0,0,2,186,0,0
"192.168.1.62",63698,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",57091,2,186,0,0,2,186,0,0
"192.168.1.62",57091,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",50275,2,186,0,0,2,186,0,0
"192.168.1.62",50275,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",56322,2,186,0,0,2,186,0,0
"192.168.1.62",56322,2,146,0,0,2,146,0,0
"192.168.1.177",59583,4,868,0,0,4,868,0,0
"192.168.1.62",63932,6,1014,0,0,6,1014,0,0
"fe80::f17b:6c72:fea6:5dc5",62422,2,186,0,0,2,186,0,0
"192.168.1.62",62422,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",52251,2,186,0,0,2,186,0,0
"192.168.1.62",52251,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",60332,2,186,0,0,2,186,0,0
"192.168.1.62",60332,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",65349,2,186,0,0,2,186,0,0
"192.168.1.62",65349,2,146,0,0,2,146,0,0
"192.168.1.177",61196,2,154,0,0,1,69,1,85
"192.168.1.177",49791,2,138,0,0,1,69,1,69
"192.168.1.1",39336,6,2354,0,0,6,2354,0,0
"192.168.1.1",40394,2,884,0,0,2,884,0,0
"fe80::f17b:6c72:fea6:5dc5",61596,2,186,0,0,2,186,0,0
"192.168.1.62",61596,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",63872,4,372,0,0,4,372,0,0
"fe80::f17b:6c72:fea6:5dc5",63019,2,186,0,0,2,186,0,0
"192.168.1.62",63872,4,292,0,0,4,292,0,0
"192.168.1.62",63019,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",51273,2,186,0,0,2,186,0,0
"192.168.1.62",51273,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",49246,4,372,0,0,4,372,0,0
"192.168.1.62",49246,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",57880,2,186,0,0,2,186,0,0
"192.168.1.62",57880,2,146,0,0,2,146,0,0
"192.168.1.1",39248,6,2354,0,0,6,2354,0,0
"192.168.1.1",50308,2,884,0,0,2,884,0,0
"fe80::f17b:6c72:fea6:5dc5",64597,4,372,0,0,4,372,0,0
"192.168.1.62",64597,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",60557,2,186,0,0,2,186,0,0
"192.168.1.62",60557,2,146,0,0,2,146,0,0
"192.168.1.177",60322,2,223,0,0,1,87,1,136
"192.168.1.177",50224,2,235,0,0,1,87,1,148
"fe80::f17b:6c72:fea6:5dc5",55752,6,546,0,0,6,546,0,0
"192.168.1.62",55752,6,426,0,0,6,426,0,0
"fe80::f17b:6c72:fea6:5dc5",62584,2,186,0,0,2,186,0,0
"192.168.1.62",62584,2,146,0,0,2,146,0,0
"192.168.1.62",56756,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",61092,2,186,0,0,2,186,0,0
"192.168.1.62",61092,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",56756,1,93,0,0,1,93,0,0
"fe80::f17b:6c72:fea6:5dc5",52962,2,186,0,0,2,186,0,0
"192.168.1.62",52962,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",53546,2,186,0,0,2,186,0,0
"192.168.1.62",53546,2,146,0,0,2,146,0,0
"192.168.1.177",52378,4,403,0,0,2,168,2,235
"192.168.1.177",54483,16,1908,0,0,8,640,8,1268
"192.168.1.177",56752,2,138,0,0,1,69,1,69
"192.168.1.177",61951,2,154,0,0,1,69,1,85
"192.168.1.177",60309,2,138,0,0,1,69,1,69
"fe80::f17b:6c72:fea6:5dc5",56291,2,186,0,0,2,186,0,0
"192.168.1.62",56291,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",52497,2,186,0,0,2,186,0,0
"192.168.1.62",52497,2,146,0,0,2,146,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",59860,378,40680,0,0,378,40680,0,0
"2001:14b8:1000::2",53,356,37327,0,0,0,0,356,37327
"192.168.1.177",59859,462,40748,0,0,231,20240,231,20508
"fe80::f17b:6c72:fea6:5dc5",63042,2,186,0,0,2,186,0,0
"192.168.1.62",63042,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",56944,2,186,0,0,2,186,0,0
"192.168.1.62",56944,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",60980,2,186,0,0,2,186,0,0
"192.168.1.62",60980,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",63076,4,372,0,0,4,372,0,0
"192.168.1.62",63076,4,292,0,0,4,292,0,0
"192.168.1.177",50996,2,207,0,0,1,80,1,127
"192.168.1.1",54254,6,2354,0,0,6,2354,0,0
"fe80::f17b:6c72:fea6:5dc5",65245,2,186,0,0,2,186,0,0
"192.168.1.62",65245,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",62012,2,186,0,0,2,186,0,0
"fe80::f17b:6c72:fea6:5dc5",60821,4,372,0,0,4,372,0,0
"192.168.1.62",62012,2,146,0,0,2,146,0,0
"192.168.1.62",60821,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",58965,2,186,0,0,2,186,0,0
"192.168.1.62",58965,2,146,0,0,2,146,0,0
"192.168.1.177",54222,4,360,0,0,2,164,2,196
"192.168.1.177",57115,2,257,0,0,1,88,1,169
"192.168.1.177",56684,2,192,0,0,1,88,1,104
"192.168.1.177",57116,12,5494,0,0,6,2845,6,2649
"34.110.207.168",443,125,56678,0,0,61,26557,64,30121
"192.168.1.1",55549,2,884,0,0,2,884,0,0
"192.168.1.177",58371,2,176,0,0,1,88,1,88
"fe80::f17b:6c72:fea6:5dc5",63347,2,186,0,0,2,186,0,0
"fe80::f17b:6c72:fea6:5dc5",50740,4,372,0,0,4,372,0,0
"192.168.1.62",63347,2,146,0,0,2,146,0,0
"192.168.1.62",50740,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",60217,2,186,0,0,2,186,0,0
"fe80::f17b:6c72:fea6:5dc5",60053,2,186,0,0,2,186,0,0
"192.168.1.62",60053,2,146,0,0,2,146,0,0
"192.168.1.62",60217,2,146,0,0,2,146,0,0
"192.168.1.1",49434,6,2354,0,0,6,2354,0,0
"192.168.1.1",35149,2,884,0,0,2,884,0,0
"fe80::f17b:6c72:fea6:5dc5",57963,4,372,0,0,4,372,0,0
"192.168.1.62",57963,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",59239,2,186,0,0,2,186,0,0
"192.168.1.62",59239,2,146,0,0,2,146,0,0
"192.168.1.253",59511,4,868,0,0,4,868,0,0
"192.168.1.1",56475,6,2354,0,0,6,2354,0,0
"192.168.1.1",51354,2,884,0,0,2,884,0,0
"fe80::f17b:6c72:fea6:5dc5",51559,2,186,0,0,2,186,0,0
"192.168.1.62",51559,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",65003,2,186,0,0,2,186,0,0
"192.168.1.62",65003,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",59391,2,186,0,0,2,186,0,0
"192.168.1.62",59391,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",51679,2,186,0,0,2,186,0,0
"192.168.1.62",51679,2,146,0,0,2,146,0,0
"192.168.1.1",42521,6,2354,0,0,6,2354,0,0
"fe80::f17b:6c72:fea6:5dc5",53349,2,186,0,0,2,186,0,0
"192.168.1.62",53349,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",60042,2,186,0,0,2,186,0,0
"192.168.1.62",60042,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",52544,4,372,0,0,4,372,0,0
"192.168.1.62",52544,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",64601,2,186,0,0,2,186,0,0
"192.168.1.62",64601,2,146,0,0,2,146,0,0
"192.168.1.1",32795,2,884,0,0,2,884,0,0
