Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,AS Number,AS Organization
2.22.31.104,0,237,146788,0,0,113,79344,124,67444,,,,
20.190.177.83,0,23,30236,0,0,9,21935,14,8301,,,,
52.98.149.162,0,25,9313,0,0,12,6773,13,2540,,,,
52.168.117.168,0,29,10478,0,0,12,7461,17,3017,,,,
20.105.95.163,0,17,11049,0,0,7,8400,10,2649,,,,
204.79.197.254,0,30,10374,0,0,17,8429,13,1945,,,,
216.58.210.142,0,144,54810,0,0,73,45080,71,9730,,,,
108.177.14.188,0,31,9943,0,0,17,8411,14,1532,,,,
216.58.211.229,0,84,98066,0,0,47,91646,37,6420,,,,
64.233.165.101,0,43,14774,0,0,21,11355,22,3419,,,,
108.156.22.66,0,178,157393,0,0,106,144993,72,12400,,,,
108.156.22.13,0,29,16150,0,0,15,14241,14,1909,,,,
108.156.22.39,0,39,48697,0,0,21,45961,18,2736,,,,
185.199.111.153,0,67,67313,0,0,39,63782,28,3531,,,,
5.75.231.96,0,110,27914,0,0,49,19337,61,8577,,,,
172.67.191.28,0,205,528477,0,0,165,524510,40,3967,,,,
151.101.245.91,0,91,279413,0,0,64,276203,27,3210,,,,
216.58.209.195,0,320,276689,0,0,200,240204,120,36485,,,,
213.230.210.231,0,47,110237,0,0,28,107929,19,2308,,,,
34.160.122.198,0,49,92346,0,0,25,89193,24,3153,,,,
108.156.22.29,0,27,13270,0,0,14,11370,13,1900,,,,
151.101.245.229,0,44,46155,0,0,25,43351,19,2804,,,,
172.66.47.32,0,139,373947,0,0,101,370040,38,3907,,,,
54.246.51.107,0,39,10272,0,0,20,7250,19,3022,,,,
35.185.44.232,0,34,29167,0,0,17,27118,17,2049,,,,
34.104.35.123,0,2238,8518776,0,0,1204,8430144,1034,88632,,,,
138.201.94.34,0,51,10280,0,0,25,7001,26,3279,,,,
216.58.210.133,0,221,101823,0,0,119,59120,102,42703,,,,
34.120.214.181,0,49,41951,0,0,38,38283,11,3668,,,,
34.196.123.226,0,40,12089,0,0,20,8655,20,3434,,,,
159.69.190.238,0,110,25080,0,0,51,14078,59,11002,,,,
52.58.254.253,0,41,7805,0,0,20,5926,21,1879,,,,
152.199.20.80,0,48,14129,0,0,23,11596,25,2533,,,,
2.18.74.119,0,46,13320,0,0,23,2166,23,11154,,,,
52.142.223.178,0,39,18303,0,0,19,7344,20,10959,,,,
140.82.121.6,0,23,6670,0,0,10,5449,13,1221,,,,
185.136.68.145,0,68,21040,0,0,40,13563,28,7477,,,,
13.107.5.88,0,18,7413,0,0,10,5739,8,1674,,,,
152.199.20.202,0,20,6780,0,0,9,5293,11,1487,,,,
20.190.181.3,0,24,23252,0,0,11,16984,13,6268,,,,
52.85.49.50,0,21,8935,0,0,11,7112,10,1823,,,,
62.183.170.16,0,23,8314,0,0,12,6248,11,2066,,,,
54.246.205.176,0,37,12042,0,0,20,8613,17,3429,,,,
